account_code,account_name,level,parent_code,statement_type,category,postable
5203010120.001,ค่าจำหน่าย - ครุภัณฑ์คอมพิวเตอร์,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010121.001,ค่าจำหน่าย - ครุภัณฑ์การศึกษา,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010122.001,ค่าจำหน่าย - ครุภัณฑ์งานบ้าน,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010123.001,ค่าจำหน่าย - ครุภัณฑ์กีฬา,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010124.001,ค่าจำหน่าย - ครุภัณฑ์ดนตรี,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010125.001,ค่าจำหน่าย - ครุภัณฑ์สนาม,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010126.001,ค่าจำหน่าย - ครุภัณฑ์อื่น,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010128.001,ค่าจำหน่าย - ถนน,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010129.001,ค่าจำหน่าย - สะพาน,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5203010130.001,ค่าจำหน่าย - เขื่อน,6,5203010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
