law_code,law_name_th,law_type,year_be,source_file
FDA2561,พระราชบัญญัติวินัยการเงินการคลังของรัฐ พ.ศ. 2561,พรบ.,2561,สรุป case.md
MOF-REG2560,ระเบียบกระทรวงการคลัง ว่าด้วยการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ พ.ศ. 2560,ระเบียบ,2560,สรุป case.md
BID2542,พระราชบัญญัติว่าด้วยความผิดเกี่ยวกับการเสนอราคาต่อหน่วยงานของรัฐ พ.ศ. 2542 (พรบ.ฮั้ว),พรบ.,2542,สรุป case.md
RP-ANNOUNCE,ประกาศคณะกรรมการราคากลางและขึ้นทะเบียนผู้ประกอบการ เรื่อง หลักเกณฑ์และวิธีการกำหนดราคากลางงานก่อสร้าง ฉบับที่ 5,ประกาศ,,สรุป case.md
FOREST2484,พระราชบัญญัติป่าไม้ พ.ศ. 2484,พรบ.,2484,สรุป case.md
FOREST2507,พระราชบัญญัติป่าสงวนแห่งชาติ พ.ศ. 2507,พรบ.,2507,สรุป case.md
