project_id,project_name,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
67069287728,ประกวดราคาจ้างก่อสร้างปรับปรุง/ซ่อมแซมระบบประปาหมู่บ้านแบบผิวดิน  บ้านสันธาตุใหม่พัฒนา หมู่ที่ 9 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,ประกวดราคาอิเล็กทรอนิกส์ (e-bidding),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,12 ก.ค. 67,970000,970000,848000,2567,2 ก.ย. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934 20.237180144571),0523523000187,ห้างหุ้นส่วนจำกัด สัญชัยพานิชลำปาง,26/2567,2 ก.ย. 67,1 ธ.ค. 67,848000,ระหว่างดำเนินการ
67089407733,ซื้อชุดไฟฟ้าส่องสว่างระบบโซล่าเซลล์ตามโครงการติดตั้งไฟฟ้าส่องสว่างระบบโซล่าเซลล์เพื่อชุมชน โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,495000,495000,492900,2567,21 ส.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,,0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,6/2567,21 ส.ค. 67,19 พ.ย. 67,492900,ระหว่างดำเนินการ
67099581759,จ้างก่อสร้างถนนคอนกรีตเสริมเหล็ก รหัสทางหลวงท้องถิ่น ชร.ถ.๑๑๖-๐๓ ช่วงหมู่ที่ ๕ เชื่อม หมู่ที่ ๗ โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,490000,490000,489000,2567,24 ก.ย. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934 20.237180144571),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,27/2567,24 ก.ย. 67,23 พ.ย. 67,489000,ระหว่างดำเนินการ
67039515935,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก สายในซอยหมู่บ้าน หมู่ที่ 7 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,484000,484000,483000,2567,29 มี.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,5/2567,29 มี.ค. 67,28 พ.ค. 67,483000,ระหว่างดำเนินการ
67099064376,ซื้อเตาเผาขยะ โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,450000,450000,449000,2567,4 ก.ย. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,,0505557009090,บริษัท พลอยไพลิน กรีน เวิลด์ จำกัด,7/2567,4 ก.ย. 67,3 พ.ย. 67,449000,ระหว่างดำเนินการ
67059189656,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็กต่อจากถนนคอนกรีตเสริมเหล็กหน้าสำนักสงฆ์สันป่าสักไปหน้าบ้านนายสุคำ บ้านดอยจัน หมู่ที่ 1 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,427800,427800,425000,2567,27 พ.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),157070015xxxx,นายกรรฐวรรธน์ เครื่องสีมา,17/2567,27 พ.ค. 67,25 ส.ค. 67,425000,ระหว่างดำเนินการ
67089421222,จ้างก่อสร้างโครงการก่อสร้างศาลาอเนกประสงค์ บ้านสันธาตุ หมู่ที่ ๔  โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,406000,406000,405000,2567,21 ส.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575566001039,บริษัท พีเอพี คอนสตรัคชั่น 1988 จำกัด,25/2567,21 ส.ค. 67,19 พ.ย. 67,405000,ระหว่างดำเนินการ
67039437943,จ้างโครงการก่อสร้างถนนคอนกรีต สายดอยจอมหมอก จำนวน 2 จุด บ้านกู่เต้า หมู่ที่ 3 โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,400000,400000,399000,2567,1 เม.ย. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0575560004311,บริษัท งามการ คอนสตรัคชั่น จำกัด,6/2567,1 เม.ย. 67,31 พ.ค. 67,399000,ระหว่างดำเนินการ
67079427291,จ้างก่อสร้างโดมหน้าเมรุสุสาน บ้านสันธาตุใหม่พัฒนา  หมู่ที่ ๙ โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,300000,300000,300000,2567,30 ก.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573567002118,ห้างหุ้นส่วนจำกัด เอ็ม.อาร์.คอนสตรัคชั่นแอนด์เอ็นจิเนียริ่ง,22/2567,30 ก.ค. 67,28 ก.ย. 67,300000,ระหว่างดำเนินการ
67079568390,จ้างก่อสร้างโดมหน้าเมรุ สุสานบ้านดอยจัน  หมู่ที่ ๑ โดยวิธีเฉพาะเจาะจง,จ้างก่อสร้าง,เทศบาลตำบลโยนก,เทศบาลตำบลโยนก,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,300000,300000,300000,2567,30 ก.ค. 67,เชียงราย,เชียงแสน,โยนก,ระหว่างดำเนินการ,POINT(100.06410567934101 20.2371801445711),0573554002297,ห้างหุ้นส่วนจำกัด บวรภพ บิลดิ้งโฮม,23/2567,30 ก.ค. 67,28 ก.ย. 67,300000,ระหว่างดำเนินการ
